nom,genre,composantes,je_l_ai,je_l_avais,je_le_veux,j_adore,j_aime,bon,aime_pas,deteste,hiver,printemps,ete,autone,jour,nuit
A Nocturnal Whisper Perfume Oil Gucci for women and men,for women and men, - leather - warm spicy - oud - amber - animalic - metallic - vanilla - smoky - tobacco, 20.297%, 1.48515%, 78.2178%, 100%, 29.1667%, 12.5%, 20.8333%, 4.16667%, 87.5%, 25%, 18.75%, 81.25%, 56.25%, 100%
A Reason To Love Gucci for women and men,for women and men, - rose - floral - oud - fresh - amber - warm spicy - powdery, 22.8464%, 2.24719%, 74.9064%, 100%, 50%, 35.2941%, 5.88235%, 2.94118%, 97.4359%, 58.9744%, 23.0769%, 100%, 48.718%, 94.8718%
A Song For The Rose Eau de Parfum Gucci for women and men,for women and men, - rose - musky - woody - floral - powdery, 35.6345%, 8.02031%, 56.3452%, 100%, 84.2105%, 31.5789%, 21.9298%, 12.2807%, 55.6962%, 100%, 70.8861%, 82.2785%, 98.7342%, 59.4937%
A Winter Melody Scented Water Gucci for women and men,for women and men, - woody - aromatic - fresh spicy - citrus - rose, 27.1144%, 12.4378%, 60.4478%, 78.3784%, 100%, 37.8378%, 62.1622%, 5.40541%, 87.5%, 87.5%, 45.8333%, 95.8333%, 100%, 54.1667%
Bloom Gocce di Fiori Gucci for women,for women, - white floral - tuberose - fruity, 45.6164%, 14.7945%, 39.589%, 64.1667%, 100%, 19.1667%, 35.8333%, 8.33333%, 22.7723%, 100%, 66.3366%, 33.6634%, 91.0891%, 31.6832%
Fading Autumn Scented Water Gucci for women and men,for women and men, - woody - earthy - warm spicy - patchouli - powdery, 23.3129%, 8.58896%, 68.0982%, 100%, 78.5714%, 39.2857%, 39.2857%, 10.7143%, 53.5714%, 57.1429%, 28.5714%, 100%, 85.7143%, 57.1429%
Flora Gorgeous Jasmine Gucci for women,for women, - citrus - white floral - floral - woody - warm spicy - fresh spicy - amber, 49.4811%, 7.8066%, 42.7123%, 82.266%, 100%, 46.3054%, 31.1987%, 10.3448%, 17.3352%, 100%, 75.0716%, 31.3754%, 92.1203%, 23.3524%
Gucci Bloom Gucci for women,for women, - white floral - tuberose, 56.3301%, 18.4711%, 25.1989%, 77.4958%, 100%, 23.2387%, 47.379%, 8.28047%, 25.1043%, 100%, 55.6693%, 43.4585%, 92.5294%, 30.603%
Gucci Bloom Acqua di Fiori Gucci for women,for women, - white floral - green - aromatic - fruity - woody - musky - fresh - tuberose - soft spicy - floral, 52.1454%, 19.7656%, 28.089%, 56.2559%, 100%, 22.4835%, 38.6642%, 3.48072%, 12.3675%, 100%, 89.6349%, 23.7927%, 99.6466%, 16.7256%
Gucci Bloom Ambrosia di Fiori Gucci for women,for women, - white floral - tuberose - rose, 52.5066%, 13.6324%, 33.861%, 90.4847%, 100%, 22.6212%, 36.6248%, 5.74506%, 52.6055%, 100%, 58.8089%, 76.1787%, 97.2705%, 60.794%
Gucci Bloom Hair Mist Gucci for women,for women, - white floral - powdery - green - iris - vanilla - woody - citrus - tuberose, 30.6122%, 16.3265%, 53.0612%, 100%, 83.3333%, 0%, 0%, 0%, 37.5%, 100%, 50%, 50%, 87.5%, 62.5%
Gucci Bloom Intense Gucci for women,for women, - white floral - tuberose - fruity - sweet - warm spicy - earthy - patchouli - mossy, 36.4182%, 5.14139%, 58.4404%, 84.0764%, 100%, 41.4013%, 27.3885%, 10.1911%, 59.4203%, 100%, 59.4203%, 96.3768%, 90.5797%, 88.4058%
Gucci Bloom Nettare Di Fiori Gucci for women,for women, - white floral - tuberose - fruity - floral - warm spicy - musky - animalic, 55.3178%, 17.1806%, 27.5016%, 62.1662%, 100%, 17.5074%, 35.3116%, 4.74777%, 33.8742%, 100%, 58.8235%, 65.1116%, 96.9574%, 44.6247%
Gucci Bloom Profumo Di Fiori Gucci for women,for women, - white floral - tuberose - woody - yellow floral - floral - powdery - sweet - musky - animalic, 50.8328%, 10.8927%, 38.2745%, 89.2857%, 100%, 35.5042%, 27.7311%, 11.7647%, 19.6078%, 98.0392%, 82.3529%, 54.6841%, 100%, 36.6013%
Gucci Garden Gucci for women and men,for women and men, - violet - yellow floral - powdery - woody - aromatic - sweet - herbal - floral - citrus - honey, 8.125%, 0%, 91.875%, 100%, 80%, 40%, 0%, 20%, 100%, 50%, 50%, 75%, 75%, 50%
Gucci Guilty Absolute Gucci for men,for men, - woody - leather - aromatic - animalic - earthy - patchouli - smoky, 61.9769%, 11.2153%, 26.8078%, 100%, 51.6328%, 8.34543%, 26.3062%, 6.7852%, 100%, 34.8847%, 12.7044%, 99.3711%, 55.304%, 88.0923%
Gucci Guilty Absolute pour Femme Gucci for women,for women, - woody - fruity - rose - aromatic - patchouli - sweet - fresh spicy - earthy, 51.0888%, 16.5068%, 32.4044%, 88.0634%, 100%, 16.611%, 33.4725%, 2.67112%, 75.4292%, 61.3734%, 29.721%, 100%, 73.176%, 77.3605%
Gucci Guilty Cologne pour Homme Gucci for men,for men, - woody - aromatic - fresh spicy - powdery - violet - citrus - musky, 57.5116%, 12.5083%, 29.9801%, 86.6171%, 100%, 20.4461%, 67.658%, 8.55019%, 12.0846%, 100%, 98.7915%, 39.8792%, 98.1873%, 23.2628%
Gucci Guilty Love Edition Pour Femme Gucci for women,for women, - powdery - floral - violet - musky - fruity - sweet - citrus - fresh - woody - aquatic, 43.1145%, 12.677%, 44.2085%, 55.642%, 100%, 27.2374%, 45.9144%, 3.11284%, 30.9392%, 100%, 55.8011%, 48.6188%, 94.4751%, 30.9392%
Gucci Guilty Love Edition Pour Homme Gucci for men,for men, - aromatic - citrus - fresh spicy - warm spicy - woody - lavender - earthy - herbal - fresh, 53.5151%, 12.6255%, 33.8594%, 70.8029%, 100%, 26.2774%, 46.7153%, 3.64963%, 10.2041%, 100%, 93.1973%, 31.9728%, 77.551%, 17.6871%
Gucci Guilty Oud Gucci for women and men,for women and men, - rose - oud - fruity - woody - patchouli - earthy - leather - amber - sweet - animalic, 35.6187%, 8.27759%, 56.1037%, 100%, 58.3893%, 12.0805%, 16.7785%, 1.34228%, 100%, 46.0993%, 13.4752%, 90.7801%, 42.5532%, 96.4539%
Guilty Love Edition MMXXI pour Femme Gucci for women,for women, - floral - violet - powdery - fresh - citrus - fresh spicy - soft spicy - patchouli - woody - aromatic, 44.3182%, 12.9545%, 42.7273%, 74.1936%, 100%, 51.6129%, 33.871%, 3.22581%, 19.6721%, 100%, 54.0984%, 45.9016%, 78.6885%, 24.5902%
Guilty Love Edition MMXXI pour Homme Gucci for men,for men, - citrus - white floral - lavender - aromatic - woody - sweet - patchouli - honey - fresh spicy - floral, 53.7849%, 9.16335%, 37.0518%, 78.3784%, 100%, 43.2432%, 32.4324%, 2.7027%, 23.0769%, 100%, 73.0769%, 53.8462%, 84.6154%, 30.7692%
Hortus Sanitatis Gucci for women and men,for women and men, - woody - aromatic - earthy - green - warm spicy, 22.0544%, 1.81269%, 76.1329%, 100%, 25%, 8.33333%, 30.5556%, 8.33333%, 68.75%, 53.125%, 31.25%, 100%, 75%, 93.75%
Love At Your Darkest Gucci for women and men,for women and men, - fresh spicy - woody - amber - warm spicy - aromatic, 22.3629%, 4.21941%, 73.4177%, 81.4815%, 100%, 37.037%, 40.7407%, 22.2222%, 68.4211%, 78.9474%, 36.8421%, 100%, 78.9474%, 73.6842%
Mémoire d’une Odeur Gucci for women and men,for women and men, - herbal - woody - floral - musky - powdery - almond - aromatic - white floral - nutty - sweet, 58.8718%, 11.4996%, 29.6286%, 85.0488%, 100%, 27.4179%, 48.7578%, 8.82875%, 21.4192%, 96.5396%, 81.1213%, 54.4897%, 100%, 24.5729%
Moonlight Serenade Scented Water Gucci for women and men,for women and men, - lavender - aromatic - herbal - fresh spicy - soft spicy, 25.7377%, 8.19672%, 66.0656%, 60.9375%, 100%, 37.5%, 23.4375%, 4.6875%, 24.3902%, 92.6829%, 80.4878%, 53.6585%, 100%, 60.9756%
Ode on Melancholy Perfume Oil Gucci for women and men,for women and men, - woody - earthy - powdery, 16.3636%, 2.72727%, 80.9091%, 100%, 52%, 24%, 16%, 8%, 57.1429%, 57.1429%, 35.7143%, 100%, 85.7143%, 78.5714%
Tears From The Moon Gucci for women and men,for women and men, - white floral - fresh - floral - rose - green, 22.409%, 4.20168%, 73.3894%, 100%, 72.6027%, 27.3973%, 10.9589%, 30.137%, 17.2414%, 100%, 81.0345%, 32.7586%, 94.8276%, 24.1379%
Tears Of Iris Eau de Parfum Gucci for women and men,for women and men, - powdery - iris - musky - woody - violet - earthy - amber, 26.9149%, 7.44681%, 65.6383%, 84.466%, 100%, 28.1553%, 15.534%, 0.970874%, 48.2759%, 100%, 48.2759%, 74.1379%, 96.5517%, 43.1034%
The Eyes Of The Tiger Eau de Parfum Gucci for women and men,for women and men, - amber - vanilla - powdery, 31.0757%, 8.16733%, 60.757%, 93.8597%, 100%, 25.4386%, 21.0526%, 5.26316%, 76.1905%, 42.8571%, 25%, 100%, 70.2381%, 71.4286%
The Last Day Of Summer Eau de Parfum Gucci for women and men,for women and men, - woody - aromatic - fresh spicy - patchouli - earthy, 31.0034%, 7.10259%, 61.894%, 100%, 88.5714%, 30.4762%, 23.8095%, 4.7619%, 60.6061%, 71.7172%, 43.4343%, 100%, 79.798%, 72.7273%
The Virgin Violet Eau de Parfum Gucci for women and men,for women and men, - powdery - violet - iris - musky - floral - vanilla, 27.6974%, 6.34038%, 65.9622%, 100%, 70.297%, 26.7327%, 13.8614%, 2.9703%, 53.8462%, 100%, 51.9231%, 63.4615%, 78.8462%, 55.7692%
The Voice Of The Snake Eau de Parfum Gucci for women and men,for women and men, - oud - warm spicy - patchouli - woody - metallic - earthy - leather - tobacco, 34.2235%, 5.19288%, 60.5836%, 100%, 50.3623%, 15.942%, 15.5797%, 5.07246%, 97.6526%, 41.3146%, 22.0657%, 92.4883%, 33.8028%, 100%
Winter's Spring Eau de Parfum Gucci for women and men,for women and men, - yellow floral - powdery - musky - floral - sweet - fresh spicy, 31.5166%, 8.05687%, 60.4265%, 100%, 86.7925%, 25.4717%, 14.1509%, 1.88679%, 36.8421%, 100%, 32.8947%, 32.8947%, 72.3684%, 19.7368%
Herve Leger Herve Leger for women,for women, - powdery - floral - vanilla - fruity - woody - musky - sweet - amber - soft spicy - lactonic, 42.9091%, 30.5455%, 26.5455%, 100%, 88.5246%, 3.27869%, 24.5902%, 0%, 75%, 55.8824%, 35.2941%, 64.7059%, 100%, 89.7059%
Ines de la Fressange 2004 Ines de la Fressange for women,for women, - floral - rose - citrus - fresh - woody - white floral - fruity - aromatic - green - musky, 41.7266%, 24.8201%, 33.4532%, 70.8333%, 100%, 6.25%, 25%, 2.08333%, 24.4444%, 55.5556%, 33.3333%, 64.4444%, 100%, 20%
J'ai Trois Amours Infiniment Coty Paris for women and men,for women and men, - white floral - fruity - floral - green, 19.3548%, 0%, 80.6452%, 100%, 0%, 50%, 0%, 0%, 50%, 100%, 50%, 50%, 100%, 100%
Blessed Baraka Initio Parfums Prives for women and men,for women and men, - powdery - amber - woody - musky - warm spicy - animalic, 43.5368%, 9.78748%, 46.6758%, 100%, 49.4048%, 17.2619%, 15.8333%, 5.2381%, 100%, 34.1606%, 12.7007%, 99.708%, 50.511%, 91.6788%
Manifesto Isabella Rossellini for women,for women, - fresh spicy - white floral - aromatic - citrus - green - herbal, 33.0645%, 47.3607%, 19.5748%, 52.1605%, 100%, 3.39506%, 43.2099%, 0.617284%, 13.8211%, 85.7724%, 69.1057%, 20.7317%, 100%, 14.6341%
L'Eau d'Issey City Blossom Issey Miyake for women,for women, - floral - fresh - citrus - musky - ozonic - rose - white floral - soft spicy - woody, 36%, 14%, 50%, 44.898%, 100%, 10.2041%, 59.1837%, 2.04082%, 2.85714%, 80%, 68.5714%, 20%, 100%, 14.2857%
L'Eau d'Issey Florale Issey Miyake for women,for women, - rose - white floral - woody - citrus - floral - soft spicy, 44.368%, 27.1775%, 28.4545%, 51.797%, 100%, 2.64271%, 25.5814%, 0%, 9.27357%, 85.9351%, 73.7249%, 17.4652%, 100%, 13.2921%
L'Eau d'Issey pour Homme Oceanic Expedition Issey Miyake for men,for men, - citrus - aromatic - marine - fresh spicy - warm spicy, 34.9908%, 16.9429%, 48.0663%, 100%, 78.1609%, 9.1954%, 26.4368%, 1.14943%, 5%, 68%, 100%, 16%, 91%, 18%
