nom,genre,composantes,je_l_ai,je_l_avais,je_le_veux,j_adore,j_aime,bon,aime_pas,deteste,hiver,printemps,ete,autone,jour,nuit
Rock the Myrrh Dries Van Noten for women and men,for women and men, - amber - warm spicy - balsamic - woody - musky - leather - aromatic - sweet - patchouli - soft spicy, 22.5564%, 3.7594%, 73.6842%, 100%, 72.8814%, 32.2034%, 15.2542%, 1.69492%, 94%, 34%, 10%, 100%, 58%, 92%
Island Lush Goldfield & Banks Australia for women and men,for women and men, - woody - warm spicy - fresh spicy - powdery - leather - aromatic - earthy - citrus, 32.7968%, 7.24346%, 59.9598%, 100%, 65.7895%, 55.2632%, 44.7368%, 15.7895%, 98.718%, 46.1538%, 25.641%, 100%, 67.9487%, 78.2051%
Honeyed Tobacco & Oud Habibi NY for women and men,for women and men, - honey - warm spicy - sweet - fresh spicy - cinnamon - aromatic - amber - tobacco - leather - coffee, 26.3889%, 5.55556%, 68.0556%, 100%, 56.5217%, 26.087%, 4.34783%, 13.0435%, 86.3636%, 36.3636%, 13.6364%, 100%, 63.6364%, 86.3636%
Abundance V 8 Map Of The Heart for women and men,for women and men, - amber - woody - citrus - warm spicy - floral - balsamic - smoky - aromatic - oud - powdery, 27.193%, 4.38597%, 68.4211%, 60%, 90%, 100%, 20%, 40%, 76.9231%, 61.5385%, 38.4615%, 92.3077%, 100%, 38.4615%
Hope Orlov Paris for women,for women, - fruity - floral - rose - musky - powdery - soft spicy - sweet - lactonic, 49.2647%, 19.1176%, 31.6176%, 64.2857%, 100%, 35.7143%, 71.4286%, 7.14286%, 15.3846%, 100%, 69.2308%, 38.4615%, 76.9231%, 23.0769%
The Best Of Me Orlov Paris for women,for women, - rose - citrus - aromatic - floral - woody - earthy - vanilla - lactonic - fruity - green, 55.1913%, 22.4044%, 22.4044%, 100%, 88.8889%, 38.8889%, 66.6667%, 5.55556%, 28.5714%, 100%, 92.8571%, 64.2857%, 78.5714%, 57.1429%
Source of Life Woman Replay for women,for women, - citrus - white floral, 34.6154%, 0%, 65.3846%, 12.5%, 100%, 0%, 0%, 0%, 50%, 100%, 75%, 25%, 100%, 50%
Splendid Vanilla Roberto Cavalli for women and men,for women and men, - vanilla - woody - earthy - powdery - patchouli - balsamic - floral - warm spicy, 25.4335%, 3.46821%, 71.0983%, 100%, 44.4444%, 5.55556%, 5.55556%, 0%, 100%, 21.4286%, 7.14286%, 92.8571%, 21.4286%, 92.8571%
Limitless Shopping Via della Spiga Trussardi for women and men,for women and men, - honey - sweet - floral - fruity - vanilla - fresh - powdery - green - fresh spicy - animalic, 45.4896%, 11.1573%, 43.3531%, 100%, 85.6115%, 27.0983%, 15.5875%, 3.11751%, 64.9852%, 82.7893%, 47.181%, 100%, 85.1632%, 35.6083%
Trussardi Uomo Levriero Limited Edition Trussardi for men,for men, - woody - aromatic - fresh spicy - warm spicy - fruity - patchouli - amber - balsamic - citrus - ozonic, 43.0894%, 13.8211%, 43.0894%, 100%, 24%, 4%, 12%, 24%, 100%, 82.1429%, 57.1429%, 96.4286%, 85.7143%, 75%
